loan_id,current_balance,interest_rate,payment_status,days_past_due,servicer_name,last_payment_date,last_updated_at,document_status
L-100305,173373.02,0.1185,Default,120,Beta Loan Servicers,2019-06-10,2024-09-01,Pending
L-100594,104718.67,0.0805,Default,0,Delta Financial,2021-11-04,2024-09-01,Pending
L-101557,6626.28,0.1241,Default,0,Beta Loan Servicers,2022-07-02,2024-09-01,Missing
L-101104,130561.65,0.091,Default,0,Beta Loan Servicers,2018-04-26,2024-09-01,Expired
L-101483,11802.79,0.0746,Default,98,Gamma Collections,2020-04-06,2024-09-01,Expired
L-101022,50589.67,0.0735,Default,16,Alpha Servicing,2024-03-03,2024-09-01,Expired
L-100629,86923.35,0.091,Default,157,Gamma Collections,2022-05-14,2024-09-01,Pending
,96185.99,0.0881,Default,188,Beta Loan Servicers,2020-01-28,2024-09-01,Pending
L-100561,53271.95,0.1328,Default,0,Delta Financial,2020-08-07,2024-09-01,Missing
L-100348,57122.36,0.0567,Default,0,Alpha Servicing,2024-03-14,2024-09-01,Expired
L-101001,30791.76,0.1341,Default,121,Alpha Servicing,2023-03-18,2024-09-01,Available
L-101036,254739.77,0.075,Default,127,Beta Loan Servicers,2022-04-05,2024-09-01,Missing
L-100740,246235.88,0.1173,Default,86,Delta Financial,2019-09-07,2024-09-01,Missing
L-101807,34908.26,0.0415,Charged Off,163,Delta Financial,2019-12-04,2024-09-01,Expired
L-100478,231832.08,0.1078,Late (16-30 days),19,Alpha Servicing,2024-03-08,2024-09-01,Missing
L-101285,56908.53,0.0947,Late (16-30 days),17,Alpha Servicing,2020-02-18,2024-09-01,Expired
L-100130,224186.18,0.0592,Current,0,Delta Financial,2020-01-12,2024-09-01,Expired
L-100513,109711.3,0.0369,Default,161,Beta Loan Servicers,2020-04-15,2024-09-01,Available
L-100222,72781.58,0.0493,Fully Paid,0,Gamma Collections,2019-04-01,2024-09-01,Expired
L-101486,70300.21,0.1161,Late (31-120 days),131,Delta Financial,2020-06-08,2024-09-01,Missing
L-100572,76223.59,0.0317,Late (31-120 days),74,Gamma Collections,2022-04-16,2024-09-01,Available
L-101237,45221.89,0.0909,Late (31-120 days),109,Beta Loan Servicers,2022-01-04,2024-09-01,Pending
L-101030,142816.64,0.0581,Current,0,Beta Loan Servicers,2018-11-10,2024-09-01,Pending
L-101025,98380.06,0.1033,Late (31-120 days),85,Gamma Collections,2019-10-26,2024-09-01,Missing
L-100962,297543.06,0.0575,Default,122,Gamma Collections,2021-01-12,2024-09-01,Pending
L-100354,77440.65,0.0498,Closed,0,Beta Loan Servicers,2021-07-19,2024-09-01,Expired
L-100856,189315.68,0.0774,Closed,0,Delta Financial,2019-03-09,2024-09-01,Expired
L-100424,324354.59,0.0433,Current,0,Alpha Servicing,2022-11-28,2024-09-01,Pending
L-101451,180542.05,0.119,Current,0,Delta Financial,2018-09-01,2024-09-01,Expired
L-100528,3781.24,0.1011,Late (31-120 days),87,Gamma Collections,2022-05-22,2024-09-01,Available
L-101405,20891.5,0.1455,Late (31-120 days),115,Delta Financial,2022-10-02,2024-09-01,Pending
L-101171,4309.36,0.099,Late (16-30 days),28,Delta Financial,2020-11-07,2024-09-01,Pending
L-100352,142753.34,0.0436,Closed,0,Beta Loan Servicers,2021-04-11,2024-09-01,Expired
L-100168,5000.0,0.0586,Closed,0,Beta Loan Servicers,2024-10-25,2024-09-01,Pending
L-101296,20775.7,0.0856,Closed,0,Gamma Collections,2025-10-30,2024-09-01,Pending
L-100329,27929.4,0.0725,Late (31-120 days),99,Alpha Servicing,2024-09-28,2024-09-01,Missing
L-100279,159525.65,0.0941,Closed,0,Gamma Collections,2021-04-05,2024-09-01,Pending
L-100419,65962.82,0.1077,Default,32,Beta Loan Servicers,2025-05-16,2024-09-01,Pending
L-101461,124344.91,0.1015,Fully Paid,0,Alpha Servicing,2021-10-21,2024-09-01,Pending
L-100448,103888.08,0.1044,Charged Off,115,Beta Loan Servicers,2023-06-21,2024-09-01,Available
L-101180,123238.68,0.0793,Late (31-120 days),179,Gamma Collections,2022-10-13,2024-09-01,Expired
L-101780,86467.7,0.0711,Fully Paid,0,Alpha Servicing,2025-03-27,2024-09-01,Pending
L-101198,257855.57,0.1286,Current,0,Beta Loan Servicers,2020-05-31,2024-09-01,Pending
L-101709,159348.73,0.1329,Late (31-120 days),136,Alpha Servicing,2020-08-03,2024-09-01,Missing
L-101640,136490.42,0.043,Charged Off,154,Beta Loan Servicers,2019-03-26,2024-09-01,Pending
L-101073,57469.97,0.091,Fully Paid,0,Gamma Collections,2021-08-18,2024-09-01,Pending
L-101837,261443.57,0.0734,Default,85,Gamma Collections,2024-09-07,2024-09-01,Expired
L-101721,251514.36,0.1122,Default,150,Alpha Servicing,2025-05-25,2024-09-01,Pending
L-101673,129962.87,0.1,Late (16-30 days),21,Beta Loan Servicers,2022-08-02,2024-09-01,Pending
L-101880,116127.19,0.0932,Default,68,Beta Loan Servicers,2023-04-07,2024-09-01,Pending
L-100326,2276.64,0.051,Closed,0,Beta Loan Servicers,2021-11-25,2024-09-01,Missing
L-100251,141474.85,0.0708,Fully Paid,0,Delta Financial,2023-09-15,2024-09-01,Missing
L-100643,30709.51,0.0629,Default,105,Delta Financial,2021-12-21,2024-09-01,Pending
L-101153,229495.64,0.0806,Late (31-120 days),94,Gamma Collections,2023-09-14,2024-09-01,Pending
L-101608,105915.79,0.1043,Default,137,Beta Loan Servicers,2023-07-31,2024-09-01,Available
L-100048,303597.61,0.0708,Fully Paid,0,Gamma Collections,2021-03-18,2024-09-01,Missing
L-100029,295859.33,0.36137737001236686,Default,87,Gamma Collections,2023-04-01,2024-09-01,Expired
L-100944,318439.39,0.0383,Charged Off,83,Delta Financial,2021-02-09,2024-09-01,Available
L-101430,5992.17,0.0709,Default,182,Beta Loan Servicers,2018-11-05,2024-09-01,Pending
L-101683,33528.73,0.0322,Charged Off,108,Gamma Collections,2024-01-14,2024-09-01,
L-101941,151663.35,0.0732,Late (31-120 days),141,Gamma Collections,2021-10-12,2024-09-01,Available
L-100433,33543.59,0.1476,Late (31-120 days),53,Beta Loan Servicers,2024-11-11,2024-09-01,Missing
L-101763,53109.01,0.134,Current,0,Beta Loan Servicers,2020-02-19,2024-09-01,Pending
L-100283,292422.14,0.1414,Charged Off,41,Gamma Collections,2020-12-11,2024-09-01,Missing
L-101355,13706.16,0.0613,Charged Off,112,Beta Loan Servicers,2021-07-16,2024-09-01,Available
L-101425,112543.75,0.0723,Current,0,Delta Financial,2022-08-10,2024-09-01,Pending
L-100013,2501.61,0.1412,Late (16-30 days),19,Gamma Collections,2020-07-15,2024-09-01,Available
L-100592,17695.15,0.0598,Current,0,Gamma Collections,2023-12-04,2024-09-01,Pending
L-101471,73400.62,0.065,Default,107,Gamma Collections,2021-09-02,2024-09-01,Missing
L-100559,136576.92,0.0811,Default,126,Beta Loan Servicers,2024-04-10,2024-09-01,Expired
L-101047,318181.81,0.0904,Default,81,Alpha Servicing,2022-03-03,2024-09-01,Missing
L-100529,91425.01,0.49661355753914327,Closed,0,Beta Loan Servicers,2025-07-25,2024-09-01,Pending
L-101890,114583.55,0.0997,Late (16-30 days),17,Delta Financial,2022-04-28,2024-09-01,Expired
L-101598,359165.2,-0.036343460840632086,Charged Off,175,Delta Financial,2018-11-12,2024-09-01,Expired
L-100719,193379.25,0.0471,Late (31-120 days),188,Alpha Servicing,2020-03-11,2024-09-01,Missing
L-100859,130955.89,0.0647,Current,0,Beta Loan Servicers,2022-10-26,2024-09-01,Available
L-100928,22823.44,0.0693,Charged Off,182,Gamma Collections,2019-07-23,2024-09-01,Pending
L-101891,62878.85,0.1365,Fully Paid,0,Delta Financial,2023-04-22,2024-09-01,Available
L-101628,31341.04,0.1012,Late (16-30 days),21,Beta Loan Servicers,2022-11-13,2024-09-01,Available
L-100989,188496.24,0.0675,Late (31-120 days),199,Alpha Servicing,2023-05-01,2024-09-01,Missing
L-100145,93636.92,0.1203,Late (31-120 days),114,Beta Loan Servicers,2023-09-22,2024-09-01,Expired
L-100744,5200.56,0.0315,Closed,0,Alpha Servicing,2019-08-21,2024-09-01,Expired
L-101699,168594.89,0.0504,Late (31-120 days),198,Beta Loan Servicers,2019-05-27,2024-09-01,Pending
L-101694,131823.18,0.0425,Charged Off,177,Delta Financial,2025-08-06,2024-09-01,Available
L-101365,160161.34,0.1302,Default,125,Gamma Collections,2021-08-25,2024-09-01,Expired
L-100544,230678.71,0.1151,Late (16-30 days),27,Beta Loan Servicers,2024-04-19,2024-09-01,Expired
L-100226,111691.28,0.041,Late (31-120 days),106,Beta Loan Servicers,2025-11-09,2024-09-01,Available
L-101972,11083.32,0.0672,Default,58,Delta Financial,2019-03-19,2024-09-01,Available
L-100951,64869.3,0.1457,Late (31-120 days),137,Alpha Servicing,2022-02-07,2024-09-01,Expired
L-101331,56927.71,0.0473,Late (16-30 days),30,Beta Loan Servicers,2023-06-08,2024-09-01,Available
L-101424,47805.21,0.0374,Charged Off,118,Alpha Servicing,2023-03-19,2024-09-01,Pending
L-100777,7607.48,0.0406,Charged Off,98,Gamma Collections,2020-03-29,2024-09-01,Expired
L-100799,293606.68,0.0526,Closed,0,Delta Financial,2022-08-24,2024-09-01,Missing
L-100014,16785.34,0.1322,Current,108,Beta Loan Servicers,2025-01-18,2024-09-01,Available
L-100607,54508.44,0.1346,Closed,0,Gamma Collections,2022-01-07,2024-09-01,Available
L-100646,285151.6,0.0344,Late (31-120 days),84,Delta Financial,2024-03-24,2024-09-01,Missing
L-100855,9896.82,0.0789,Charged Off,177,Beta Loan Servicers,2023-12-04,2024-09-01,Missing
L-101122,264599.57,0.1364,Fully Paid,0,Delta Financial,2023-05-13,2024-09-01,Pending
L-101206,256819.4,0.1157,Late (16-30 days),26,Gamma Collections,2022-12-18,2024-09-01,Available
L-101715,91797.73,0.0904,Default,34,Delta Financial,2023-08-23,2024-09-01,Expired
L-100472,30932.83,0.1062,Fully Paid,0,Gamma Collections,2019-09-18,2024-09-01,Available
L-101181,84378.74,0.0319,Fully Paid,0,Beta Loan Servicers,2021-04-26,2024-09-01,Missing
L-100173,114357.29,0.1074,Current,0,Beta Loan Servicers,2022-11-01,2024-09-01,Missing
L-999885,253976.96,0.0631,Closed,0,Alpha Servicing,2023-01-04,2024-09-01,Pending
L-100202,401975.41,0.1484,Default,116,Beta Loan Servicers,2022-10-20,2024-09-01,Expired
L-100823,14709.4,0.1212,Current,0,Gamma Collections,2021-12-13,2024-09-01,Expired
L-101404,230462.84,0.114,Charged Off,110,Alpha Servicing,2023-12-09,2024-09-01,Missing
L-101676,8770.71,0.1445,Late (16-30 days),30,Delta Financial,2020-04-15,2024-09-01,Missing
L-101512,341020.19,0.1033,Default,146,Gamma Collections,2021-09-28,2024-09-01,Available
L-100635,1012.5,0.0969,Fully Paid,0,Gamma Collections,2020-10-18,2024-09-01,Missing
L-100758,40452.15,0.0425,Closed,0,Delta Financial,2022-02-21,2024-09-01,Missing
L-100901,45320.83,0.133,Current,0,Beta Loan Servicers,2022-05-04,2024-09-01,Available
L-101337,359354.82,0.0889,Late (16-30 days),21,Gamma Collections,2020-07-15,2024-09-01,Expired
L-100820,313045.81,0.0467,Fully Paid,0,Gamma Collections,2023-05-30,2024-09-01,Missing
L-101006,320576.19,0.1484,Late (31-120 days),64,Beta Loan Servicers,2023-01-08,2024-09-01,Expired
L-101611,125862.03,0.0979,Current,0,Beta Loan Servicers,2019-02-21,2024-09-01,Missing
,32616.81,0.1089,Fully Paid,0,Delta Financial,2021-06-18,2024-09-01,Pending
L-101366,135040.73,0.066,Late (16-30 days),22,Gamma Collections,2021-04-16,2024-09-01,Pending
L-100921,459330.6,0.0861,Fully Paid,0,Alpha Servicing,2020-07-28,2024-09-01,Expired
L-101539,119798.27,0.1106,Charged Off,171,Gamma Collections,2023-04-09,2024-09-01,Expired
L-101668,12586.38,0.0577,Fully Paid,0,Beta Loan Servicers,2022-05-26,2024-09-01,Expired
L-100818,77911.32,0.0857,Late (31-120 days),151,Delta Financial,2020-10-18,2024-09-01,Pending
L-100762,196543.28,0.079,Default,58,Delta Financial,2022-12-31,2024-09-01,Missing
L-101672,91314.63,0.1238,Fully Paid,0,Beta Loan Servicers,2022-02-11,2024-09-01,Missing
L-100970,66072.2,0.0974,Late (16-30 days),29,Delta Financial,2025-06-26,2024-09-01,Expired
L-101473,97234.16,0.136,Fully Paid,0,Beta Loan Servicers,2025-10-16,2024-09-01,Available
L-100886,117319.83,0.108,Charged Off,77,Beta Loan Servicers,2026-04-22,2024-09-01,Available
L-100788,108939.81,0.096,Late (16-30 days),21,Alpha Servicing,2024-01-09,2024-09-01,Available
L-101879,65921.87,0.1453,Charged Off,122,Delta Financial,2020-07-26,2024-09-01,Expired
L-101930,18641.49,0.1468,Default,196,Delta Financial,2022-10-08,2024-09-01,Available
L-100515,59162.13,0.1464,Late (31-120 days),107,Delta Financial,2019-06-23,2024-09-01,Available
L-100984,204988.05,0.0482,Default,36,Alpha Servicing,2023-03-22,2024-09-01,Missing
L-100807,122050.96,0.1357,Default,53,Delta Financial,2023-02-03,2024-09-01,Missing
L-100095,110336.04,0.1264,Late (31-120 days),132,Delta Financial,2019-11-07,2024-09-01,Expired
L-101151,74241.63,0.1145,Current,0,Gamma Collections,2022-03-15,2024-09-01,Missing
L-100722,97945.12,0.0885,Closed,0,Gamma Collections,2022-01-15,2024-09-01,Available
L-100257,149088.9,0.0738,Charged Off,89,Alpha Servicing,2024-11-09,2024-09-01,Missing
L-100017,205186.69,0.0544,Closed,0,Alpha Servicing,2021-05-24,2024-09-01,Pending
L-101024,21426.13,0.1448,Default,82,Gamma Collections,2024-12-23,2024-09-01,Available
L-101374,88918.29,0.072,Closed,0,Beta Loan Servicers,2020-01-16,2024-09-01,Available
L-101510,80297.83,0.0326,Charged Off,100,Delta Financial,2025-06-28,2024-09-01,Expired
L-100700,124497.38,0.1106,Closed,0,Beta Loan Servicers,2020-12-11,2024-09-01,Expired
L-101740,119956.03,0.0927,Late (31-120 days),66,Alpha Servicing,2025-07-26,2024-09-01,Expired
L-101312,-500.0,0.091,Default,49,Gamma Collections,2020-02-20,2024-09-01,Pending
L-100286,109594.41,0.1224,Default,42,Beta Loan Servicers,2020-10-11,2024-09-01,Available
L-101200,12136.11,0.0433,Late (16-30 days),26,Delta Financial,2019-12-22,2024-09-01,Available
L-100892,24892.01,0.0573,Late (31-120 days),74,Delta Financial,2022-10-09,2024-09-01,Available
L-100636,277950.29,0.0888,Late (31-120 days),55,Beta Loan Servicers,2021-10-06,2024-09-01,Expired
L-100674,77141.41,0.1173,Current,0,Alpha Servicing,2024-04-17,2024-09-01,Pending
L-101803,69586.86,0.073,Charged Off,116,Beta Loan Servicers,2024-11-30,2024-09-01,Expired
L-100656,38725.69,0.063,Fully Paid,0,Alpha Servicing,2022-07-13,2024-09-01,Expired
L-100378,193955.62,-0.010439705231080842,Default,141,Beta Loan Servicers,2024-01-02,2024-09-01,Available
L-100144,101483.45,0.0812,Late (16-30 days),26,Delta Financial,2021-12-05,2024-09-01,Missing
L-101005,315162.68,0.1019,Closed,0,Delta Financial,2024-04-17,2024-09-01,Expired
L-101911,351067.8,0.1401,Charged Off,31,Gamma Collections,2019-06-19,2024-09-01,Available
L-100127,296509.32,0.0889,Late (16-30 days),27,Delta Financial,2021-06-26,2024-09-01,Available
L-100588,11408.74,0.1135,Default,194,Alpha Servicing,2022-11-09,2024-09-01,Missing
L-101173,172652.0,0.0403,Default,186,Beta Loan Servicers,2025-12-02,2024-09-01,Pending
L-101276,147209.65,0.1079,Closed,0,Beta Loan Servicers,2021-06-30,2024-09-01,Expired
L-101100,32089.58,0.0988,Current,0,Alpha Servicing,2021-03-11,2024-09-01,Available
L-101063,145727.78,0.0534,Closed,0,Gamma Collections,2025-03-10,2024-09-01,Expired
L-101013,117303.76,0.0653,Late (16-30 days),22,Delta Financial,2024-05-26,2024-09-01,Missing
L-101083,19443.15,0.0796,Closed,0,Gamma Collections,2023-09-22,2024-09-01,Pending
L-100275,24671.8,0.1461,Charged Off,103,Gamma Collections,2023-04-25,2024-09-01,Available
L-101215,137899.69,0.1442,Default,146,Alpha Servicing,2021-02-01,2024-09-01,Expired
L-101143,226588.38,0.1289,Closed,0,Beta Loan Servicers,2025-08-24,2024-09-01,Available
L-101026,65524.18,0.0955,Charged Off,171,Beta Loan Servicers,2026-01-13,2024-09-01,Missing
L-100998,16458.19,0.0575,Late (31-120 days),181,Delta Financial,2021-10-03,2024-09-01,Pending
L-100294,133753.77,0.1126,Fully Paid,0,Gamma Collections,2021-03-15,2024-09-01,Expired
L-100958,20921.65,0.1124,Current,0,Alpha Servicing,2021-06-25,2024-09-01,Available
L-100738,44042.02,0.1132,Current,0,Delta Financial,2022-03-20,2024-09-01,Missing
L-100612,93395.74,0.1369,Fully Paid,0,Alpha Servicing,2023-02-03,2024-09-01,Pending
L-101516,157954.96,0.1005,Closed,0,Beta Loan Servicers,2023-11-19,2024-09-01,Missing
L-100564,124826.32,0.0412,Current,0,Alpha Servicing,2022-08-08,2024-09-01,Missing
L-100290,9125.31,0.0726,Fully Paid,0,Gamma Collections,2024-12-15,2024-09-01,Available
L-100341,7211.54,0.1148,Late (16-30 days),18,Gamma Collections,2020-06-14,2024-09-01,Missing
L-101203,356975.95,0.0385,Charged Off,64,Delta Financial,2021-04-30,2024-09-01,Expired
L-100882,76019.75,0.0581,Late (16-30 days),18,Gamma Collections,2019-08-12,2024-09-01,Expired
L-100157,133238.67,0.0423,Closed,0,Beta Loan Servicers,2020-09-03,2024-09-01,Available
L-101406,180688.63,0.1113,Default,138,Delta Financial,2020-05-12,2024-09-01,Missing
L-101433,98617.63,0.0358,Late (16-30 days),20,Gamma Collections,2019-07-20,2024-09-01,Available
L-101134,59401.62,0.0943,Charged Off,113,Gamma Collections,2024-10-30,2024-09-01,Missing
L-101980,184438.02,0.039,Closed,0,Delta Financial,2020-07-04,2024-09-01,Pending
L-101417,209733.02,0.1481,Late (31-120 days),157,Delta Financial,2022-09-07,2024-09-01,Available
L-100083,73163.92,0.1493,Closed,0,Gamma Collections,2020-11-24,2024-09-01,Available
L-100848,104465.43,0.0504,Charged Off,165,Alpha Servicing,2020-11-08,2024-09-01,Available
L-101243,28813.35,0.0408,Late (16-30 days),29,Beta Loan Servicers,2022-11-05,2024-09-01,Available
L-101983,227061.48,0.0913,Fully Paid,0,Beta Loan Servicers,2023-05-27,2024-09-01,Available
L-101218,88361.55,0.136,Charged Off,172,Beta Loan Servicers,2020-01-07,2024-09-01,Available
L-101693,102248.9,0.102,Charged Off,171,Beta Loan Servicers,2022-02-01,2024-09-01,Pending
L-101098,200440.26,0.1063,Current,0,Beta Loan Servicers,2025-11-11,2024-09-01,Expired
L-100957,25079.96,0.1394,Fully Paid,0,Delta Financial,2024-01-29,2024-09-01,Expired
L-101604,33464.59,0.0517,Current,0,Beta Loan Servicers,2026-07-08,2024-09-01,Available
L-101391,91033.75,0.1346,Late (31-120 days),151,Delta Financial,2024-01-08,2024-09-01,Missing
L-100475,71373.3,0.0634,Default,108,Delta Financial,2020-10-02,2024-09-01,Available
L-101321,13859.33,0.0608,Late (31-120 days),32,Beta Loan Servicers,2023-03-11,2024-09-01,Expired
L-101077,147983.6,0.0559,Current,0,Beta Loan Servicers,2023-01-02,2024-09-01,Expired
L-100884,279961.38,0.043,Default,58,Delta Financial,2019-02-12,2024-09-01,Pending
L-101607,85618.38,0.0885,Late (16-30 days),26,Beta Loan Servicers,2023-10-07,2024-09-01,Expired
L-101886,358214.27,0.0427,Closed,0,Delta Financial,2025-02-08,2024-09-01,Missing
L-101819,129131.58,0.107,Closed,0,Gamma Collections,2023-08-27,2024-09-01,Available
L-100071,6157.33,0.0511,Current,0,Delta Financial,2024-03-05,2024-09-01,Available
L-100126,115446.64,0.0566,Late (31-120 days),70,Beta Loan Servicers,2023-03-01,2024-09-01,Missing
L-100778,191552.55,0.0574,Default,149,Gamma Collections,2026-02-26,2024-09-01,Expired
L-101639,37516.52,0.1454,Closed,0,Delta Financial,2020-03-27,2024-09-01,Missing
L-100980,164458.25,0.0994,Late (31-120 days),42,Gamma Collections,2024-05-20,2024-09-01,Available
L-101848,144128.5,0.0559,Fully Paid,0,Gamma Collections,2024-10-28,2024-09-01,Missing
L-100625,285021.04,0.1026,Charged Off,93,Delta Financial,2025-08-23,2024-09-01,Pending
L-100849,69960.87,0.064,Closed,0,Delta Financial,2020-11-07,2024-09-01,Expired
L-101863,113814.98,0.0339,Charged Off,86,Beta Loan Servicers,2025-01-26,2024-09-01,
L-101795,80725.38,0.0463,Late (16-30 days),24,Gamma Collections,2024-07-07,2024-09-01,Missing
L-100414,193857.17,0.0868,Fully Paid,0,Delta Financial,2018-11-08,2024-09-01,Missing
L-101196,130593.42,0.1014,Current,0,Alpha Servicing,2022-03-05,2024-09-01,Available
L-100076,78877.37,0.0481,Charged Off,196,Beta Loan Servicers,2023-03-28,2024-09-01,Expired
L-100503,9156.55,0.0987,Default,154,Delta Financial,2024-08-19,2024-09-01,
L-100332,148266.02,0.0812,Late (31-120 days),46,Delta Financial,2020-01-08,2024-09-01,Pending
L-999613,161582.7,0.0594,Charged Off,154,Delta Financial,2025-03-12,2024-09-01,Expired
L-101775,203820.93,0.1268,Late (31-120 days),117,Gamma Collections,2022-07-27,2024-09-01,Expired
L-100179,51851.01,0.047,Late (31-120 days),200,Delta Financial,2020-05-23,2024-09-01,Pending
L-100526,6761.44,0.0961,Fully Paid,0,Alpha Servicing,2026-08-14,2024-09-01,Expired
L-100506,151043.92,0.0992,Fully Paid,0,Alpha Servicing,2025-10-06,2024-09-01,Available
L-100113,187829.18,0.0787,Fully Paid,0,Alpha Servicing,2020-10-07,2024-09-01,Pending
L-100397,2088.06,0.0688,Fully Paid,0,Delta Financial,2025-04-13,2024-09-01,Available
L-100182,2849.05,0.1132,Current,0,Delta Financial,2023-01-28,2024-09-01,Expired
L-101114,32320.44,0.0368,Fully Paid,0,Alpha Servicing,2020-01-22,2024-09-01,Missing
L-101426,19884.96,0.103,Charged Off,165,Beta Loan Servicers,2024-06-29,2024-09-01,Available
L-100388,24301.98,0.1268,Default,86,Beta Loan Servicers,2023-12-13,2024-09-01,Pending
L-101160,407025.44,0.0381,Fully Paid,0,Gamma Collections,2022-04-24,2024-09-01,Available
L-101680,188856.02,0.0475,Charged Off,150,Beta Loan Servicers,2023-06-04,2024-09-01,Available
L-100489,98543.88,0.1454,Late (31-120 days),125,Gamma Collections,2024-10-27,2024-09-01,Expired
L-100495,99500.23,0.0526,Default,178,Alpha Servicing,2020-03-15,2024-09-01,Missing
L-101764,214811.52,0.0769,Closed,0,Beta Loan Servicers,2019-12-11,2024-09-01,Missing
L-100040,157260.83,0.139,Charged Off,56,Beta Loan Servicers,2024-07-02,2024-09-01,Available
L-100161,93689.42,0.1438,Default,133,Alpha Servicing,2020-01-12,2024-09-01,Available
L-101974,119909.76,0.0317,Fully Paid,0,Gamma Collections,2020-02-09,2024-09-01,Available
L-100229,11286.23,0.0345,Charged Off,89,Gamma Collections,2020-01-13,2024-09-01,Expired
L-101948,14127.64,0.1043,Fully Paid,0,Delta Financial,2025-05-20,2024-09-01,Pending
L-101041,45710.88,0.131,Late (16-30 days),19,Delta Financial,2020-01-22,2024-09-01,Missing
L-100538,312183.5,0.1474,Default,145,Delta Financial,2023-05-06,2024-09-01,Expired
L-101369,105975.06,0.0655,Default,55,Gamma Collections,2025-02-15,2024-09-01,Available
L-100043,244295.88,0.1181,Fully Paid,0,Alpha Servicing,2025-02-19,2024-09-01,Available
L-101864,5000.0,0.1188,Closed,23,Beta Loan Servicers,2021-01-05,2024-09-01,
L-100724,148748.01,0.0356,Late (31-120 days),71,Alpha Servicing,2025-11-18,2024-09-01,Missing
L-101862,6517.35,0.0831,Fully Paid,0,Delta Financial,2020-06-02,2024-09-01,Pending
L-101997,173660.83,0.0573,Current,0,Gamma Collections,2022-02-22,2024-09-01,
L-101089,153621.33,0.0528,Charged Off,141,Alpha Servicing,2025-01-29,2024-09-01,Pending
L-100662,70673.32,0.1227,Current,0,Delta Financial,2019-07-22,2024-09-01,Expired
L-100702,68811.38,0.0848,Fully Paid,0,Gamma Collections,2023-06-29,2024-09-01,Pending
L-101071,80970.69,0.0786,Late (16-30 days),21,Alpha Servicing,2022-05-02,2024-09-01,Expired
L-101020,224753.87,0.128,Late (16-30 days),17,Beta Loan Servicers,2020-04-03,2024-09-01,Pending
L-100654,275659.0,0.0973,Charged Off,142,Gamma Collections,2020-06-11,2024-09-01,Pending
L-100760,100661.32,0.1456,Default,107,Beta Loan Servicers,2020-09-16,2024-09-01,Missing
L-100273,358795.55,0.1208,Late (31-120 days),65,Gamma Collections,2023-03-19,2024-09-01,Expired
L-101767,172820.71,0.0682,Late (31-120 days),198,Alpha Servicing,2020-04-24,2024-09-01,Missing
L-101925,24888.09,0.0728,Fully Paid,0,Delta Financial,2021-10-11,2024-09-01,Available
