loan_id,borrower_id,loan_type,origination_date,maturity_date,original_principal,current_balance,interest_rate,term_months,borrower_state,loan_purpose,credit_grade,employment_length,income_band,payment_status,days_past_due,servicer_name,last_payment_date,last_updated_at,document_status,source_system
L-100048,B-34983,Mortgage,2018-10-13,2028-08-21,387474.19,303597.61,0.0708,120,NC,Credit Card Refinancing,G,0 years,100k-150k,Fully Paid,0,Gamma Collections,2021-03-18,2024-08-28,Missing,Manual
L-100096,B-80592,Student,2021-11-14,2031-09-23,278199.12,148765.32,0.0846,120,MA,Home Improvement,F,7 years,>150k,Late (16-30 days),29,Delta Financial,2022-01-27,2024-06-24,Expired,Manual
L-100050,B-60604,Mortgage,2023-07-22,2026-07-06,67491.9,58872.03,0.0698,36,XX,Major Purchase,A,16 years,>150k,Current,0,Beta Loan Servicers,2024-10-13,2024-03-03,Expired,LendingWeb
L-100051,B-54375,Student,2018-11-25,2028-10-03,426908.96,336179.6,0.0756,120,MA,Other,F,15 years,<50k,Charged Off,48,Beta Loan Servicers,2020-10-01,2024-05-08,Available,Manual
L-100052,B-22903,Auto,2022-12-23,2027-11-27,348530.58,286749.79,0.0355,60,AR,Credit Card Refinancing,C,11 years,>150k,Late (16-30 days),19,Delta Financial,2024-08-23,2024-03-06,Missing,Legacy
L-100053,B-89887,Student,2020-09-13,2050-04-09,456850.36,97991.74,0.0853,360,KY,Major Purchase,C,0 years,>150k,Late (31-120 days),170,Beta Loan Servicers,2020-12-27,2024-08-12,Pending,Manual
L-100054,B-42780,Student,2021-05-22,2026-04-26,499689.91,391091.49,0.0428,60,MO,Medical Expenses,C,18 years,100k-150k,Fully Paid,0,Gamma Collections,2021-07-13,2024-07-09,Available,Legacy
L-100055,B-89482,Student,2021-03-18,2026-02-20,305497.17,116656.16,0.1064,60,SC,Credit Card Refinancing,F,4 years,<50k,Fully Paid,0,Alpha Servicing,2022-02-27,2024-08-02,Pending,OriginatePro
L-100056,B-21813,Personal,2021-08-31,2051-03-27,91941.83,18914.99,0.0947,360,MS,Medical Expenses,E,8 years,50k-100k,Late (31-120 days),154,Gamma Collections,2023-11-03,2023-01-01,Available,Manual
L-100057,B-19869,Mortgage,2020-07-13,2050-02-06,483798.52,359786.5,0.0739,360,MT,Debt Consolidation,C,17 years,<50k,Default,125,Gamma Collections,2022-04-02,2024-07-27,Pending,Legacy
L-100058,B-98452,Mortgage,2023-04-16,2026-03-31,311675.7,266337.89,0.0694,36,SC,Home Improvement,F,2 years,>150k,Fully Paid,0,Gamma Collections,2025-03-10,2024-07-04,Missing,Legacy
L-100059,B-14877,Personal,2023-07-11,2026-06-25,53110.04,43008.91,0.0463,36,NJ,Credit Card Refinancing,F,17 years,>150k,Charged Off,70,Delta Financial,2025-06-10,2024-02-27,Expired,Manual
L-100060,B-46666,Auto,2022-02-26,2027-01-31,224474.63,193147.88,0.1327,60,CT,Other,C,17 years,100k-150k,Current,0,Delta Financial,2023-01-04,2024-04-04,Expired,Legacy
L-100061,B-96870,Mortgage,2018-03-29,2021-03-13,394463.32,116309.53,0.0451,36,OR,Home Improvement,A,17 years,50k-100k,Charged Off,86,Beta Loan Servicers,2019-03-30,2024-03-26,Available,LendingWeb
L-100062,B-28964,Mortgage,2020-10-23,2025-09-27,59413.54,47124.34,0.0458,60,MN,Home Improvement,E,10 years,<50k,Late (16-30 days),20,Alpha Servicing,2021-03-31,2024-07-17,Available,Legacy
L-100063,B-72422,Student,2022-01-22,2025-01-06,228742.68,63416.58,0.1038,36,WA,Other,E,9 years,>150k,Current,96,Alpha Servicing,2022-04-24,2024-08-28,Expired,Manual
L-100064,B-99928,Auto,2023-07-02,2053-01-25,41377.9,6812.14,0.103,360,XX,Home Improvement,C,19 years,100k-150k,Default,183,Gamma Collections,2024-11-07,2024-07-04,Available,OriginatePro
L-100065,B-66370,Student,2020-07-24,2050-02-17,172771.15,79958.34,0.0799,360,CT,Credit Card Refinancing,D,10 years,100k-150k,Late (31-120 days),70,Delta Financial,2020-10-30,2024-02-27,Available,Legacy
L-100066,B-66606,Auto,2022-03-07,2027-02-09,280403.51,159597.85,0.0974,60,MI,Other,A,13 years,100k-150k,Closed,0,Delta Financial,2024-09-10,2024-01-10,Pending,LendingWeb
L-100067,B-23579,Mortgage,2019-09-26,2049-04-21,116001.21,21642.89,0.1314,360,MS,Debt Consolidation,G,8 years,50k-100k,Closed,0,Delta Financial,2022-03-09,2024-01-20,Pending,Legacy
L-100068,B-33647,Personal,2023-01-01,2022-01-01,178756.59,43817.61,0.0472,120,TX,Major Purchase,A,4 years,<50k,Current,0,Beta Loan Servicers,2022-08-08,2024-07-15,Pending,OriginatePro
L-100069,B-58503,Personal,2021-08-21,2024-08-05,442254.38,99270.15,0.1205,36,AR,Other,A,8 years,>150k,Fully Paid,0,Delta Financial,2023-01-30,2024-08-14,Pending,OriginatePro
L-100070,B-77154,Auto,2021-11-14,2051-06-10,59890.44,38484.06,0.1012,360,ND,Other,C,1 years,50k-100k,Default,184,Alpha Servicing,2021-12-21,2024-04-10,Missing,OriginatePro
L-100071,B-43491,Personal,2021-09-05,2024-08-20,8826.3,6157.33,0.0511,36,MO,Medical Expenses,F,7 years,100k-150k,Current,0,Delta Financial,2024-03-05,2024-01-14,Available,Manual
L-100072,B-20205,Personal,2022-10-25,2052-05-20,356201.99,154646.93,0.0438,360,AK,Credit Card Refinancing,B,19 years,>150k,Closed,0,Gamma Collections,2023-02-22,2024-07-28,Available,OriginatePro
L-100073,B-67104,Student,2023-11-17,2026-11-01,200904.51,69958.9,0.0707,36,MI,Home Improvement,A,16 years,<50k,Charged Off,161,Beta Loan Servicers,2026-07-01,2024-06-12,Missing,OriginatePro
L-100074,B-23474,Mortgage,2020-11-14,2025-10-19,90882.02,20202.69,0.1211,60,CA,Home Improvement,G,20 years,>150k,Default,175,Delta Financial,2022-11-11,2024-06-28,Pending,OriginatePro
L-100075,B-67640,Auto,2023-04-05,2052-10-29,317535.63,234044.0,0.101,360,MN,Medical Expenses,A,9 years,>150k,Default,40,Alpha Servicing,2024-05-16,2024-05-03,Available,Manual
L-100076,B-70648,Auto,2023-01-17,2027-12-22,164155.75,78877.37,0.0481,60,AR,Major Purchase,A,10 years,<50k,Charged Off,196,Beta Loan Servicers,2023-03-28,2024-04-23,Expired,Manual
L-100077,B-78690,Mortgage,2022-01-30,2031-12-09,459378.71,188314.61,0.1229,120,UT,Medical Expenses,A,20 years,100k-150k,Current,0,Gamma Collections,2022-06-05,2024-07-10,Pending,OriginatePro
L-100078,B-53694,Auto,2019-08-03,2029-06-11,158564.71,99078.17,0.1095,120,FL,Medical Expenses,F,2 years,100k-150k,Charged Off,127,Gamma Collections,2021-12-12,2024-03-22,Available,Manual
L-100079,B-76648,Personal,2018-03-16,2028-01-23,157888.7,135931.98,0.071,120,WY,Major Purchase,B,7 years,50k-100k,Late (16-30 days),17,Gamma Collections,2020-08-26,2024-02-17,Available,LendingWeb
L-100080,B-91006,Mortgage,2022-03-24,2027-02-26,85312.37,65270.45,0.1225,60,HI,Other,D,1 years,>150k,Late (31-120 days),91,Delta Financial,2024-01-08,2024-05-25,Expired,OriginatePro
L-100081,B-79993,Mortgage,2021-06-21,2051-01-15,452467.3,115475.51,0.1114,360,OR,Major Purchase,D,9 years,>150k,Charged Off,166,Delta Financial,2022-01-02,2024-04-26,Missing,LendingWeb
L-100082,B-16839,Student,2022-03-01,2025-02-13,357143.48,183117.29,0.045,36,CO,Home Improvement,C,14 years,50k-100k,Closed,0,Delta Financial,2022-07-02,2024-04-27,Expired,LendingWeb
L-100083,B-13495,Student,2018-08-07,2048-03-02,253493.52,73163.92,0.1493,360,MS,Home Improvement,A,10 years,<50k,Closed,0,Gamma Collections,2020-11-24,2024-03-05,Available,LendingWeb
L-100084,B-71925,Mortgage,2023-04-06,2052-10-30,309597.39,255320.63,0.0323,360,IN,Home Improvement,E,19 years,>150k,Current,0,Gamma Collections,2024-01-04,2024-05-04,Available,OriginatePro
L-100085,B-65027,Student,2018-09-15,2021-08-30,419160.42,209522.94,0.0943,36,SD,Medical Expenses,E,7 years,50k-100k,Late (31-120 days),140,Alpha Servicing,2020-07-05,2024-06-08,Expired,OriginatePro
L-100086,B-97080,Auto,2023-11-15,2033-09-23,38501.26,20053.29,0.0909,120,NC,Medical Expenses,A,12 years,>150k,Current,0,Delta Financial,2024-12-31,2024-05-24,Available,LendingWeb
L-100087,B-18855,Personal,2020-09-14,2023-08-30,386893.18,266240.38,0.0699,36,AZ,Credit Card Refinancing,E,10 years,50k-100k,Closed,0,Delta Financial,2022-09-26,2024-08-21,Missing,OriginatePro
L-100607,B-18270,Student,2018-06-01,2028-04-09,104787.54,76797.46,0.1363,120,MA,Credit Card Refinancing,E,12 years,>150k,Late (31-120 days),40,Beta Loan Servicers,2019-04-19,2024-06-28,Available,LendingWeb
L-100089,B-45811,Auto,2022-02-16,2051-09-12,445295.83,309323.04,0.1374,360,MO,Credit Card Refinancing,B,15 years,>150k,Late (31-120 days),163,Gamma Collections,2024-06-15,2023-01-01,Expired,Legacy
L-100090,B-66440,Mortgage,2021-04-18,2031-02-25,55785.96,20213.26,0.0655,120,XX,Medical Expenses,F,13 years,50k-100k,Fully Paid,0,Delta Financial,2022-05-12,2024-08-02,Pending,Manual
L-100091,B-45986,Auto,2018-11-04,2048-05-30,184839.01,136942.93,0.1115,360,AK,Home Improvement,G,19 years,>150k,Current,0,Beta Loan Servicers,2019-02-10,2024-04-25,Pending,LendingWeb
L-100092,B-60181,Auto,2019-09-21,2049-04-16,474667.65,188732.94,0.1216,360,OR,Home Improvement,E,11 years,>150k,Late (31-120 days),197,Gamma Collections,2020-07-02,2024-02-01,Missing,Manual
L-100093,B-77861,Student,2019-04-28,2029-03-06,388607.42,257736.2,0.0557,120,SC,Credit Card Refinancing,F,15 years,50k-100k,Current,0,Beta Loan Servicers,2021-10-17,2024-02-15,Missing,Manual
L-100094,B-21506,Personal,2021-11-24,2024-11-08,277248.59,92126.89,0.066,36,HI,Other,F,20 years,50k-100k,Current,112,Gamma Collections,2023-05-28,2024-04-04,Missing,OriginatePro
L-100095,B-41029,Student,2018-04-18,2028-02-25,279240.61,110336.04,0.1264,120,OK,Home Improvement,E,2 years,<50k,Late (31-120 days),132,Delta Financial,2019-11-07,2024-07-25,Expired,Legacy
L-100096,B-26426,Personal,2018-10-31,2048-05-26,235587.43,121065.56,0.0454,360,WY,Medical Expenses,F,18 years,50k-100k,Closed,0,Beta Loan Servicers,2020-02-16,2024-01-27,Available,OriginatePro
L-100097,B-49862,Mortgage,2019-10-26,2029-09-03,467695.23,131130.62,0.1437,120,ND,Credit Card Refinancing,G,2 years,100k-150k,Late (16-30 days),26,Gamma Collections,2020-04-01,2024-05-20,Available,OriginatePro
L-100098,B-87569,Mortgage,2019-12-03,2029-10-11,422052.35,232506.29,0.129,120,AK,Debt Consolidation,A,20 years,100k-150k,Fully Paid,0,Beta Loan Servicers,2022-02-25,2024-07-20,Available,Manual
L-100099,B-92203,Personal,2021-05-22,2050-12-16,126214.57,94140.85,0.0787,360,NJ,Debt Consolidation,F,1 years,50k-100k,Default,137,Delta Financial,2022-10-09,2024-04-11,Missing,LendingWeb
L-100100,B-51853,Personal,2022-06-22,2027-05-27,381529.17,195336.87,0.0427,60,KS,Major Purchase,A,8 years,>150k,Late (16-30 days),18,Alpha Servicing,2022-09-11,2024-05-13,Expired,OriginatePro
L-100101,B-30932,Personal,2021-07-04,2026-06-08,382745.08,190841.46,0.0918,60,NY,Credit Card Refinancing,D,0 years,<50k,Default,160,Delta Financial,2022-04-06,2024-04-19,Pending,Legacy
L-100102,B-16624,Personal,2023-07-21,2053-02-13,146445.45,15602.58,-0.016652825781475457,360,FL,Credit Card Refinancing,F,11 years,>150k,Late (31-120 days),42,Delta Financial,2023-10-11,2024-04-12,Pending,Legacy
L-100103,B-60639,Student,2021-02-19,2024-02-04,68688.38,12181.55,0.0748,36,MI,Medical Expenses,C,4 years,50k-100k,Charged Off,161,Delta Financial,2022-08-15,2024-01-02,Available,OriginatePro
L-100104,B-53652,Student,2023-10-29,2053-05-24,78725.63,64122.45,0.0468,360,XX,Credit Card Refinancing,B,12 years,100k-150k,Charged Off,117,Delta Financial,2025-11-22,2024-05-16,Available,LendingWeb
L-100105,B-53416,Auto,2022-09-03,2032-07-12,399393.63,271691.26,0.1126,120,AK,Medical Expenses,D,8 years,50k-100k,Fully Paid,0,Alpha Servicing,2024-05-22,2024-08-06,Expired,OriginatePro
L-100106,B-99224,Mortgage,2018-05-10,2021-04-24,99438.24,45028.7,0.0803,36,NE,Other,B,13 years,>150k,Closed,0,Alpha Servicing,2020-05-31,2024-03-17,Missing,LendingWeb
L-100107,B-96799,Student,2023-11-23,2053-06-18,160307.54,161307.54,0.1395,360,MI,Medical Expenses,C,20 years,100k-150k,Charged Off,154,Beta Loan Servicers,2024-08-31,2024-05-18,Pending,OriginatePro
L-100108,B-49008,Personal,2020-04-29,2049-11-23,161935.17,61380.32,0.142,360,WA,Credit Card Refinancing,C,3 years,>150k,Default,119,Beta Loan Servicers,2021-03-22,2024-01-10,Available,LendingWeb
L-100109,B-67983,Personal,2023-05-17,2028-04-20,105023.66,55753.11,0.142,60,VT,Credit Card Refinancing,B,3 years,50k-100k,Late (16-30 days),16,Beta Loan Servicers,2025-03-30,2024-04-02,Available,Manual
L-100110,B-53292,Student,2019-02-16,2024-01-21,7564.82,4087.14,0.1415,60,NE,Other,D,15 years,50k-100k,Closed,0,Gamma Collections,2020-02-09,2024-05-21,Available,Legacy
L-100111,B-95498,Mortgage,2018-06-02,2023-05-07,211853.07,-500.0,0.1421,60,AZ,Major Purchase,G,15 years,50k-100k,Fully Paid,0,Gamma Collections,2020-12-15,2024-01-01,Pending,Legacy
L-100112,B-53914,Personal,2023-02-05,2052-08-31,445183.68,92313.27,0.0905,360,LA,Home Improvement,G,3 years,100k-150k,Late (16-30 days),27,Delta Financial,2024-12-29,2024-05-23,Missing,Legacy
L-100113,B-54185,Personal,2020-03-02,2025-02-04,307422.48,187829.18,0.0787,60,NV,Medical Expenses,C,2 years,>150k,Fully Paid,0,Alpha Servicing,2020-10-07,2024-03-16,Pending,OriginatePro
L-100114,B-10895,Personal,2022-04-21,2027-03-26,226134.08,70914.62,0.0696,60,PA,Other,E,0 years,100k-150k,Fully Paid,0,Gamma Collections,2024-04-29,2024-04-02,Available,Manual
L-100115,B-50213,Mortgage,2022-07-19,2032-05-27,346693.74,211819.15,0.1429,120,MS,Medical Expenses,B,7 years,50k-100k,Default,70,Delta Financial,2024-09-21,2024-06-14,Expired,OriginatePro
,B-42435,Auto,2023-11-23,2053-06-18,266445.7,103761.39,0.1401,360,DE,Debt Consolidation,G,17 years,50k-100k,Charged Off,168,Beta Loan Servicers,2024-06-08,2024-06-28,Expired,Legacy
L-100117,B-99167,Mortgage,2023-06-26,2026-06-10,449950.23,205351.05,0.0367,36,FL,Medical Expenses,D,14 years,<50k,Charged Off,149,Gamma Collections,2025-08-04,2024-01-13,Pending,Legacy
L-100118,B-38560,Auto,2018-07-05,2048-01-29,175541.79,26508.2,0.1493,360,CA,Major Purchase,A,9 years,>150k,Late (16-30 days),28,Beta Loan Servicers,2020-09-26,2024-07-12,Expired,Manual
L-100119,B-59479,Student,2018-11-25,2023-10-30,328499.38,124243.69,0.0514,60,OH,Major Purchase,E,4 years,50k-100k,Closed,0,Alpha Servicing,2021-02-06,2024-01-10,Expired,Manual
L-100120,B-79721,Student,2020-07-29,2025-07-03,233009.51,52216.76,0.0526,60,WA,Debt Consolidation,A,13 years,<50k,Late (16-30 days),19,Alpha Servicing,2020-12-09,2024-01-15,Available,OriginatePro
L-100121,B-15798,Student,2022-12-03,2027-11-07,272181.11,191481.74,0.1231,60,FL,Medical Expenses,C,7 years,100k-150k,Charged Off,184,Gamma Collections,2023-09-01,2024-05-05,Missing,Manual
L-100122,B-49387,Personal,2018-09-07,2023-08-12,314866.6,139095.62,0.0895,60,MN,Other,F,12 years,100k-150k,Fully Paid,0,Delta Financial,2019-11-29,2024-03-10,Expired,OriginatePro
L-100123,B-80507,Student,2020-09-14,2025-08-19,153864.53,102483.23,0.1267,60,AR,Medical Expenses,D,13 years,50k-100k,Default,93,Gamma Collections,2021-05-10,2024-06-21,Available,Manual
L-100124,B-58637,Auto,2020-02-20,2023-02-04,137888.49,88102.13,0.1024,36,CA,Home Improvement,G,18 years,50k-100k,Default,84,Gamma Collections,2021-01-25,2024-01-07,Missing,Legacy
L-100125,B-72773,Mortgage,2020-04-17,2049-11-11,457987.6,248075.14,0.1231,360,MO,Major Purchase,E,20 years,100k-150k,Late (31-120 days),97,Gamma Collections,2021-10-24,2024-08-15,Available,Manual
L-100126,B-51973,Mortgage,2022-02-27,2032-01-06,209895.43,115446.64,0.0566,120,GA,Debt Consolidation,C,17 years,>150k,Late (31-120 days),70,Beta Loan Servicers,2023-03-01,2024-04-13,Missing,Manual
L-100127,B-82173,Personal,2020-11-20,2050-06-16,483421.59,296509.32,0.0889,360,HI,Other,G,11 years,50k-100k,Late (16-30 days),27,Delta Financial,2021-06-26,2024-01-17,Available,Legacy
